TODS,ACM Transactions on Database Systems
TOIS,ACM Transactions on Information Systems
TKDE,IEEE Transactions on Knowledge and Data Engineering
VLDBJ,The VLDB Journal
TKDD,ACM Transactions on Knowledge Discovery from Data
KDD,ACM Knowledge Discovery and Data Mining
SIGIR,International Conference on Research on Development in Information Retrieval
VLDB,International Conference on Very Large Data Bases
CIKM,ACM International Conference on Information and Knowledge Management
WSDM,ACM International Conference on Web Search and Data Mining
DASFAA,Database Systems for Advanced Applications
ICDM,International Conference on Data Mining
TVCG,IEEE Transactions on Visualization and Computer Graphics
SIGGRAPH,ACM SIGGRAPH Annual Conference
MM,ACM International Conference on Multimedia
TPAMI,IEEE Trans on Pattern Analysis and Machine Intelligence
IJCV,International Journal of Computer Vision
AAAI,AAAI Conference on Artificial Intelligence
NIPS,Neural Information Processing Systems
ACL,Association for Computational Linguistics
CVPR,Computer Vision and Pattern Recognition
ICCV,International Conference on Computer Vision
ICML,International Conference on Machine Learning
IJCAI,International Joint Conference on Artificial Intelligence
EMNLP,Conference on Empirical Methods in Natural Language Processing
ECAI,European Conference on Artificial Intelligence
ECCV,European Conference on Computer Vision
TITS,IEEE Transactions on Intelligent Transportation Systems
WWW,International World Wide Web Conferences
ICLR,International Conference on Learning Representations
